City/Town,Report Date,Total Case Count,Total Case Rate,,,
Attleboro,04/22/2020,281,607.33,,,
Auburn,04/22/2020,45,272.85,,,
Avon,04/22/2020,39,890.27,,,
Ayer,04/22/2020,33,408.42,,,
Barnstable,04/22/2020,133,296.57,,,
Barre,04/22/2020,24,431.83,,,
Becket,04/22/2020,10,555.42,,,
Bedford,04/22/2020,117,785.43,,,
Belchertown,04/22/2020,40,251.21,,,
Bellingham,04/22/2020,44,246.14,,,
Belmont,04/22/2020,141,516.37,,,
Berkley,04/22/2020,21,309.73,,,
Berlin,04/22/2020,10,313.16,,,
Bernardston,04/22/2020,<5,*,,,
Beverly,04/22/2020,241,585.43,,,
Billerica,04/22/2020,261,598.86,,,
Blackstone,04/22/2020,20,221.13,,,
Blandford,04/22/2020,0,*,,,
Bolton,04/22/2020,5,*,,,
Boston,04/22/2020,6744,970.4,,,
Bourne,04/22/2020,99,473.23,,,
Boxborough,04/22/2020,9,176.21,,,
Boxford,04/22/2020,25,323.95,,,
Boylston,04/22/2020,9,200.5,,,
Braintree,04/22/2020,418,1062,,,
Brewster,04/22/2020,64,645.66,,,
Bridgewater,04/22/2020,141,495.66,,,
Brimfield,04/22/2020,<5,*,,,
Brockton,04/22/2020,1763,1794.43,,,
Brookfield,04/22/2020,5,136.55,,,
Brookline,04/22/2020,216,335.48,,,
Buckland,04/22/2020,6,*,,,
Burlington,04/22/2020,131,473.89,,,
Cambridge,04/22/2020,672,595.82,,,
Canton,04/22/2020,157,680.7,,,
Carlisle,04/22/2020,7,146.79,,,
Carver,04/22/2020,19,156.04,,,
Charlemont,04/22/2020,0,0,,,
Charlton,04/22/2020,26,184.76,,,
Chatham,04/22/2020,8,136.61,,,
Chelmsford,04/22/2020,174,483.58,,,
Chelsea,04/22/2020,1447,3841.8,,,
Cheshire,04/22/2020,<5,*,,,
Chester,04/22/2020,<5,*,,,
Chesterfield,04/22/2020,<5,*,,,
Chicopee,04/22/2020,176,308.69,,,
Chilmark,04/22/2020,0,0,,,
Clarksburg,04/22/2020,7,415.82,,,
Clinton,04/22/2020,54,383.65,,,
Cohasset,04/22/2020,15,202.72,,,
Colrain,04/22/2020,<5,*,,,
Concord,04/22/2020,63,336.45,,,
Conway,04/22/2020,<5,*,,,
Cummington,04/22/2020,<5,*,,,
Dalton,04/22/2020,6,91.99,,,
Danvers,04/22/2020,316,1106.6,,,
Dartmouth,04/22/2020,66,179.25,,,
Dedham,04/22/2020,174,641.48,,,
Deerfield,04/22/2020,<5,*,,,
Dennis,04/22/2020,42,317.61,,,
Dighton,04/22/2020,20,254.91,,,
Douglas,04/22/2020,18,191.5,,,
Dover,04/22/2020,14,268.65,,,
Dracut,04/22/2020,229,708.86,,,
Dudley,04/22/2020,27,218.03,,,
Dunstable,04/22/2020,7,*,,,
Duxbury,04/22/2020,33,218.06,,,
East Bridgewater,04/22/2020,102,691.23,,,
East Brookfield,04/22/2020,<5,*,,,
East Longmeadow,04/22/2020,116,685.8,,,
Eastham,04/22/2020,7,150.65,,,
Easthampton,04/22/2020,37,228.2,,,
Easton,04/22/2020,162,683.59,,,
Edgartown,04/22/2020,0,*,,,
Egremont,04/22/2020,<5,*,,,
Erving,04/22/2020,<5,*,,,
Essex,04/22/2020,12,322.52,,,
Everett,04/22/2020,716,1475.18,,,
Fairhaven,04/22/2020,45,280.71,,,
Fall River,04/22/2020,191,213.53,,,
Falmouth,04/22/2020,110,351.98,,,
Fitchburg,04/22/2020,148,351.1,,,
Florida,04/22/2020,<5,*,,,
Foxborough,04/22/2020,54,298.13,,,
Framingham,04/22/2020,438,588.19,,,
Franklin,04/22/2020,55,162.66,,,
Freetown,04/22/2020,25,276.3,,,
Gardner,04/22/2020,74,370.19,,,
Georgetown,04/22/2020,24,268.64,,,
Gill,04/22/2020,<5,*,,,
Gloucester,04/22/2020,111,387.77,,,
Goshen,04/22/2020,0,*,,,
Gosnold,04/22/2020,0,0,,,
Grafton,04/22/2020,41,205.57,,,
Granby,04/22/2020,13,211.67,,,
Granville,04/22/2020,7,449.78,,,
Great Barrington,04/22/2020,37,544.46,,,
Greenfield,04/22/2020,122,702.59,,,
Groton,04/22/2020,15,128.81,,,
Groveland,04/22/2020,8,117.07,,,
Hadley,04/22/2020,17,295.63,,,
Halifax,04/22/2020,22,287.91,,,
Hamilton,04/22/2020,14,187.32,,,
Hampden,04/22/2020,14,283.36,,,
Hancock,04/22/2020,<5,*,,,
Hanover,04/22/2020,38,265.27,,,
Hanson,04/22/2020,44,410.96,,,
Hardwick,04/22/2020,<5,*,,,
Harvard,04/22/2020,13,187.66,,,
Harwich,04/22/2020,30,238.8,,,
Hatfield,04/22/2020,6,*,,,
Haverhill,04/22/2020,385,584.7,,,
Hawley,04/22/2020,0,0,,,
Heath,04/22/2020,0,0,,,
Hingham,04/22/2020,108,454.02,,,
Hinsdale,04/22/2020,<5,*,,,
Holbrook,04/22/2020,83,734.84,,,
Holden,04/22/2020,34,180.27,,,
Holland,04/22/2020,5,195.29,,,
Holliston,04/22/2020,21,152.35,,,
Holyoke,04/22/2020,474,1150.36,,,
Hopedale,04/22/2020,8,140.87,,,
Hopkinton,04/22/2020,65,398.42,,,
Hubbardston,04/22/2020,<5,*,,,
Hudson,04/22/2020,73,348.51,,,
Hull,04/22/2020,17,172.13,,,
Huntington,04/22/2020,6,271.33,,,
Ipswich,04/22/2020,33,245.41,,,
Kingston,04/22/2020,50,368.64,,,
Lakeville,04/22/2020,27,239.14,,,
Lancaster,04/22/2020,12,140.06,,,
Lanesborough,04/22/2020,5,*,,,
Lawrence,04/22/2020,1205,1366.59,,,
Lee,04/22/2020,11,187.08,,,
Leicester,04/22/2020,58,514.92,,,
Lenox,04/22/2020,11,225.47,,,
Leominster,04/22/2020,128,315.33,,,
Leverett,04/22/2020,<5,*,,,
Lexington,04/22/2020,218,640.33,,,
Leyden,04/22/2020,0,0,,,
Lincoln,04/22/2020,25,288.92,,,
Littleton,04/22/2020,69,710.01,,,
Longmeadow,04/22/2020,159,1025.16,,,
Lowell,04/22/2020,1235,1056.83,,,
Ludlow,04/22/2020,47,225.27,,,
Lunenburg,04/22/2020,24,230.62,,,
Lynn,04/22/2020,1387,1374.58,,,
Lynnfield,04/22/2020,56,480.73,,,
Malden,04/22/2020,560,826.52,,,
Manchester,04/22/2020,12,242.6,,,
Mansfield,04/22/2020,87,368.08,,,
Marblehead,04/22/2020,65,338.23,,,
Marion,04/22/2020,<5,*,,,
Marlborough,04/22/2020,295,679.11,,,
Marshfield,04/22/2020,83,320.96,,,
Mashpee,04/22/2020,34,221.1,,,
Mattapoisett,04/22/2020,9,155.67,,,
Maynard,04/22/2020,24,230,,,
Medfield,04/22/2020,23,201.75,,,
Medford,04/22/2020,590,970.16,,,
Medway,04/22/2020,46,351.68,,,
Melrose,04/22/2020,126,435.65,,,
Mendon,04/22/2020,10,172.62,,,
Merrimac,04/22/2020,8,*,,,
Methuen,04/22/2020,409,763.76,,,
Middleborough,04/22/2020,72,267.44,,,
Middlefield,04/22/2020,0,0,,,
Middleton,04/22/2020,89,862.46,,,
Milford,04/22/2020,114,389.04,,,
Millbury,04/22/2020,117,856.7,,,
Millis,04/22/2020,27,341.96,,,
Millville,04/22/2020,7,*,,,
Milton,04/22/2020,141,492.49,,,
Monroe,04/22/2020,0,0,,,
Monson,04/22/2020,14,165.97,,,
Montague,04/22/2020,14,163.77,,,
Monterey,04/22/2020,0,0,,,
Montgomery,04/22/2020,<5,*,,,
Mount Washington,04/22/2020,0,0,,,
Nahant,04/22/2020,28,855.77,,,
Nantucket,04/22/2020,9,79.37,,,
Natick,04/22/2020,214,595.73,,,
Needham,04/22/2020,156,532.2,,,
New Ashford,04/22/2020,0,0,,,
New Bedford,04/22/2020,212,212.95,,,
New Braintree,04/22/2020,<5,*,,,
New Marlborough,04/22/2020,<5,*,,,
New Salem,04/22/2020,0,0,,,
Newbury,04/22/2020,<5,*,,,
Newburyport,04/22/2020,38,213.44,,,
Newton,04/22/2020,455,496.03,,,
Norfolk,04/22/2020,14,113.4,,,
North Adams,04/22/2020,39,298.69,,,
North Andover,04/22/2020,121,400.02,,,
North Attleborough,04/22/2020,107,354.13,,,
North Brookfield,04/22/2020,5,*,,,
North Reading,04/22/2020,119,719.7,,,
Northampton,04/22/2020,119,407.1,,,
Northborough,04/22/2020,74,540.51,,,
Northbridge,04/22/2020,90,500.44,,,
Northfield,04/22/2020,<5,*,,,
Norton,04/22/2020,66,332.28,,,
Norwell,04/22/2020,52,485.76,,,
Norwood,04/22/2020,316,1049.41,,,
Oak Bluffs,04/22/2020,<5,*,,,
Oakham,04/22/2020,<5,*,,,
Orange,04/22/2020,25,306.27,,,
Orleans,04/22/2020,11,194.76,,,
Otis,04/22/2020,<5,*,,,
Oxford,04/22/2020,23,166.88,,,
Palmer,04/22/2020,14,117.7,,,
Paxton,04/22/2020,9,181.85,,,
Peabody,04/22/2020,380,681.42,,,
Pelham,04/22/2020,<5,*,,,
Pembroke,04/22/2020,44,235.63,,,
Pepperell,04/22/2020,21,171,,,
Peru,04/22/2020,<5,*,,,
Petersham,04/22/2020,<5,*,,,
Phillipston,04/22/2020,7,408.35,,,
Pittsfield,04/22/2020,120,271.02,,,
Plainfield,04/22/2020,0,0,,,
Plainville,04/22/2020,32,350.73,,,
Plymouth,04/22/2020,152,245.02,,,
Plympton,04/22/2020,<5,*,,,
Princeton,04/22/2020,<5,*,,,
Provincetown,04/22/2020,18,686.01,,,
Quincy,04/22/2020,551,544.79,,,
Randolph,04/22/2020,481,1405.65,,,
Raynham,04/22/2020,110,736.42,,,
Reading,04/22/2020,118,429.34,,,
Rehoboth,04/22/2020,27,214.02,,,
Revere,04/22/2020,759,1245.97,,,
Richmond,04/22/2020,5,376.53,,,
Rochester,04/22/2020,8,141.9,,,
Rockland,04/22/2020,133,737.4,,,
Rockport,04/22/2020,24,366.18,,,
Rowe,04/22/2020,0,0,,,
Rowley,04/22/2020,16,259.17,,,
Royalston,04/22/2020,<5,*,,,
Russell,04/22/2020,9,476.94,,,
Rutland,04/22/2020,22,244.2,,,
Salem,04/22/2020,277,615.3,,,
Salisbury,04/22/2020,19,214.92,,,
Sandisfield,04/22/2020,<5,*,,,
Sandwich,04/22/2020,57,270.98,,,
Saugus,04/22/2020,194,682.49,,,
Savoy,04/22/2020,<5,*,,,
Scituate,04/22/2020,54,297.99,,,
Seekonk,04/22/2020,34,242.82,,,
Sharon,04/22/2020,69,376.83,,,
Sheffield,04/22/2020,11,356.33,,,
Shelburne,04/22/2020,5,270.38,,,
Sherborn,04/22/2020,5,*,,,
Shirley,04/22/2020,25,296.59,,,
Shrewsbury,04/22/2020,147,373.11,,,
Shutesbury,04/22/2020,<5,*,,,
Somerset,04/22/2020,38,205.32,,,
Somerville,04/22/2020,415,542.21,,,
South Hadley,04/22/2020,46,254.16,,,
Southampton,04/22/2020,24,399.63,,,
Southborough,04/22/2020,21,215.99,,,
Southbridge,04/22/2020,42,249.36,,,
Southwick,04/22/2020,25,255.28,,,
Spencer,04/22/2020,11,95.48,,,
Springfield,04/22/2020,835,527.37,,,
Sterling,04/22/2020,16,203.22,,,
Stockbridge,04/22/2020,6,344.13,,,
Stoneham,04/22/2020,180,807.03,,,
Stoughton,04/22/2020,305,1102.77,,,
Stow,04/22/2020,9,124.83,,,
Sturbridge,04/22/2020,21,201.11,,,
Sudbury,04/22/2020,55,307.2,,,
Sunderland,04/22/2020,7,184.14,,,
Sutton,04/22/2020,20,222.61,,,
Swampscott,04/22/2020,77,561.77,,,
Swansea,04/22/2020,31,194.12,,,
Taunton,04/22/2020,351,612.79,,,
Templeton,04/22/2020,84,940.55,,,
Tewksbury,04/22/2020,204,662.54,,,
Tisbury,04/22/2020,<5,*,,,
Tolland,04/22/2020,0,0,,,
Topsfield,04/22/2020,76,1300.49,,,
Townsend,04/22/2020,17,185.81,,,
Truro,04/22/2020,9,455.74,,,
Tyngsborough,04/22/2020,63,525.4,,,
Tyringham,04/22/2020,<5,*,,,
Upton,04/22/2020,13,143.79,,,
Uxbridge,04/22/2020,29,188.15,,,
Wakefield,04/22/2020,181,670.25,,,
Wales,04/22/2020,<5,*,,,
Walpole,04/22/2020,145,559.83,,,
Waltham,04/22/2020,542,813.09,,,
Ware,04/22/2020,10,98.63,,,
Wareham,04/22/2020,78,325.67,,,
Warren,04/22/2020,<5,*,,,
Warwick,04/22/2020,0,0,,,
Washington,04/22/2020,<5,*,,,
Watertown,04/22/2020,163,491.37,,,
Wayland,04/22/2020,50,376.45,,,
Webster,04/22/2020,48,279.22,,,
Wellesley,04/22/2020,164,551.54,,,
Wellfleet,04/22/2020,<5,*,,,
Wendell,04/22/2020,0,0,,,
Wenham,04/22/2020,8,153.67,,,
West Boylston,04/22/2020,21,267.51,,,
West Bridgewater,04/22/2020,32,441.53,,,
West Brookfield,04/22/2020,6,161.74,,,
West Newbury,04/22/2020,<5,*,,,
West Springfield,04/22/2020,171,580.5,,,
West Stockbridge,04/22/2020,<5,*,,,
West Tisbury,04/22/2020,7,242.81,,,
Westborough,04/22/2020,133,705.86,,,
Westfield,04/22/2020,270,649.38,,,
Westford,04/22/2020,93,401.91,,,
Westhampton,04/22/2020,<5,*,,,
Westminster,04/22/2020,13,177.3,,,
Weston,04/22/2020,66,594.93,,,
Westport,04/22/2020,16,96.13,,,
Westwood,04/22/2020,67,454.56,,,
Weymouth,04/22/2020,360,642.13,,,
Whately,04/22/2020,<5,*,,,
Whitman,04/22/2020,87,564.21,,,
Wilbraham,04/22/2020,91,625.75,,,
Williamsburg,04/22/2020,5,202.69,,,
Williamstown,04/22/2020,81,1099.24,,,
Wilmington,04/22/2020,184,754.93,,,
Winchendon,04/22/2020,41,381.51,,,
Winchester,04/22/2020,60,268.77,,,
Windsor,04/22/2020,0,0,,,
Winthrop,04/22/2020,110,583.64,,,
Woburn,04/22/2020,220,530.24,,,
Worcester,04/22/2020,1457,759.37,,,
Worthington,04/22/2020,0,0,,,
Wrentham,04/22/2020,46,408,,,
Yarmouth,04/22/2020,52,216.46,,,
Unknown,04/22/2020,854,*,,,
State,04/22/2020,42944,616.41,,,
Abington,04/29/2020,143,796.17,,,
Acton,04/29/2020,74,311.81,,,
Acushnet,04/29/2020,35,334.82,,,
Adams,04/29/2020,32,386.44,,,
Agawam,04/29/2020,317,1108.22,,,
Alford,04/29/2020,0,0,,,
Amesbury,04/29/2020,72,432.55,,,
Amherst,04/29/2020,83,204.95,,,
Andover,04/29/2020,158,438.7,,,
Aquinnah,04/29/2020,0,0,,,
Arlington,04/29/2020,218,475.89,,,
Ashburnham,04/29/2020,16,254.78,,,
Ashby,04/29/2020,8,231.38,,,
Ashfield,04/29/2020,<5,*,,,
Ashland,04/29/2020,128,656.65,,,
Athol,04/29/2020,38,317.59,,,
Attleboro,04/29/2020,443,957.47,,,
Auburn,04/29/2020,55,333.49,,,
Avon,04/29/2020,48,1095.72,,,
Ayer,04/29/2020,40,495.05,,,
Barnstable,04/29/2020,187,416.99,,,
Barre,04/29/2020,37,665.73,,,
Becket,04/29/2020,11,610.96,,,
Bedford,04/29/2020,152,1020.38,,,
Belchertown,04/29/2020,62,389.38,,,
Bellingham,04/29/2020,78,436.33,,,
Belmont,04/29/2020,162,593.27,,,
Berkley,04/29/2020,33,486.71,,,
Berlin,04/29/2020,15,469.74,,,
Bernardston,04/29/2020,<5,*,,,
Beverly,04/29/2020,363,881.78,,,
Billerica,04/29/2020,346,793.89,,,
Blackstone,04/29/2020,23,254.3,,,
Blandford,04/29/2020,0,0,,,
Bolton,04/29/2020,9,178.13,,,
Boston,04/29/2020,9284,1335.89,,,
Bourne,04/29/2020,121,578.39,,,
Boxborough,04/29/2020,13,254.52,,,
Boxford,04/29/2020,28,362.83,,,
Boylston,04/29/2020,10,222.77,,,
Braintree,04/29/2020,570,1448.18,,,
Brewster,04/29/2020,87,877.69,,,
Bridgewater,04/29/2020,183,643.3,,,
Brimfield,04/29/2020,<5,*,,,
Brockton,04/29/2020,2735,2783.76,,,
Brookfield,04/29/2020,6,163.86,,,
Brookline,04/29/2020,263,408.48,,,
Buckland,04/29/2020,7,376.25,,,
Burlington,04/29/2020,173,625.83,,,
Cambridge,04/29/2020,773,685.37,,,
Canton,04/29/2020,219,949.5,,,
Carlisle,04/29/2020,7,146.79,,,
Carver,04/29/2020,26,213.53,,,
Charlemont,04/29/2020,0,0,,,
Charlton,04/29/2020,38,270.04,,,
Chatham,04/29/2020,11,187.84,,,
Chelmsford,04/29/2020,229,636.44,,,
Chelsea,04/29/2020,1965,5217.1,,,
Cheshire,04/29/2020,<5,*,,,
Chester,04/29/2020,6,442.11,,,
Chesterfield,04/29/2020,<5,*,,,
Chicopee,04/29/2020,248,434.97,,,
Chilmark,04/29/2020,<5,*,,,
Clarksburg,04/29/2020,7,415.82,,,
Clinton,04/29/2020,87,618.11,,,
Cohasset,04/29/2020,18,243.26,,,
Colrain,04/29/2020,<5,*,,,
Concord,04/29/2020,117,624.83,,,
Conway,04/29/2020,<5,*,,,
Cummington,04/29/2020,<5,*,,,
Dalton,04/29/2020,6,91.99,,,
Danvers,04/29/2020,467,1635.39,,,
Dartmouth,04/29/2020,161,437.27,,,
Dedham,04/29/2020,239,881.11,,,
Deerfield,04/29/2020,6,112.52,,,
Dennis,04/29/2020,51,385.67,,,
Dighton,04/29/2020,35,446.1,,,
Douglas,04/29/2020,26,276.61,,,
Dover,04/29/2020,14,268.65,,,
Dracut,04/29/2020,296,916.26,,,
Dudley,04/29/2020,40,323,,,
Dunstable,04/29/2020,7,210.08,,,
Duxbury,04/29/2020,47,310.57,,,
East Bridgewater,04/29/2020,127,860.64,,,
East Brookfield,04/29/2020,6,267.68,,,
East Longmeadow,04/29/2020,178,1052.35,,,
Eastham,04/29/2020,10,215.22,,,
Easthampton,04/29/2020,50,308.38,,,
Easton,04/29/2020,195,822.84,,,
Edgartown,04/29/2020,<5,*,,,
Egremont,04/29/2020,<5,*,,,
Erving,04/29/2020,<5,*,,,
Essex,04/29/2020,15,403.15,,,
Everett,04/29/2020,1004,2068.55,,,
Fairhaven,04/29/2020,92,573.9,,,
Fall River,04/29/2020,481,537.75,,,
Falmouth,04/29/2020,124,396.78,,,
Fitchburg,04/29/2020,238,564.61,,,
Florida,04/29/2020,<5,*,,,
Foxborough,04/29/2020,77,425.11,,,
Framingham,04/29/2020,816,1095.8,,,
Franklin,04/29/2020,86,254.35,,,
Freetown,04/29/2020,54,596.8,,,
Gardner,04/29/2020,104,520.26,,,
Georgetown,04/29/2020,29,324.61,,,
Gill,04/29/2020,<5,*,,,
Gloucester,04/29/2020,143,499.56,,,
Goshen,04/29/2020,<5,*,,,
Gosnold,04/29/2020,0,0,,,
Grafton,04/29/2020,52,260.73,,,
Granby,04/29/2020,18,293.09,,,
Granville,04/29/2020,8,514.04,,,
Great Barrington,04/29/2020,46,676.89,,,
Greenfield,04/29/2020,157,904.15,,,
Groton,04/29/2020,22,188.92,,,
Groveland,04/29/2020,14,204.87,,,
Hadley,04/29/2020,27,469.54,,,
Halifax,04/29/2020,25,327.17,,,
Hamilton,04/29/2020,21,280.97,,,
Hampden,04/29/2020,16,323.84,,,
Hancock,04/29/2020,<5,*,,,
Hanover,04/29/2020,44,307.16,,,
Hanson,04/29/2020,66,616.43,,,
Hardwick,04/29/2020,<5,*,,,
Harvard,04/29/2020,14,202.1,,,
Harwich,04/29/2020,36,286.55,,,
Hatfield,04/29/2020,8,246.37,,,
Haverhill,04/29/2020,600,911.22,,,
Hawley,04/29/2020,0,0,,,
Heath,04/29/2020,0,0,,,
Hingham,04/29/2020,148,622.17,,,
Hinsdale,04/29/2020,<5,*,,,
Holbrook,04/29/2020,135,1195.21,,,
Holden,04/29/2020,50,265.1,,,
Holland,04/29/2020,5,195.29,,,
Holliston,04/29/2020,34,246.65,,,
Holyoke,04/29/2020,596,1446.45,,,
Hopedale,04/29/2020,17,299.35,,,
Hopkinton,04/29/2020,108,661.99,,,
Hubbardston,04/29/2020,<5,*,,,
Hudson,04/29/2020,99,472.63,,,
Hull,04/29/2020,32,324,,,
Huntington,04/29/2020,9,406.99,,,
Ipswich,04/29/2020,46,342.09,,,
Kingston,04/29/2020,61,449.74,,,
Lakeville,04/29/2020,41,363.13,,,
Lancaster,04/29/2020,54,630.27,,,
Lanesborough,04/29/2020,5,164.14,,,
Lawrence,04/29/2020,1639,1858.78,,,
Lee,04/29/2020,15,255.11,,,
Leicester,04/29/2020,91,807.89,,,
Lenox,04/29/2020,12,245.97,,,
Leominster,04/29/2020,207,509.95,,,
Leverett,04/29/2020,<5,*,,,
Lexington,04/29/2020,257,754.88,,,
Leyden,04/29/2020,0,0,,,
Lincoln,04/29/2020,25,288.92,,,
Littleton,04/29/2020,76,782.04,,,
Longmeadow,04/29/2020,177,1141.22,,,
Lowell,04/29/2020,1649,1411.11,,,
Ludlow,04/29/2020,59,282.78,,,
Lunenburg,04/29/2020,34,326.71,,,
Lynn,04/29/2020,2056,2037.6,,,
Lynnfield,04/29/2020,73,626.66,,,
Malden,04/29/2020,751,1108.43,,,
Manchester,04/29/2020,13,262.82,,,
Mansfield,04/29/2020,110,465.39,,,
Marblehead,04/29/2020,118,614.02,,,
Marion,04/29/2020,7,150.85,,,
Marlborough,04/29/2020,429,987.59,,,
Marshfield,04/29/2020,106,409.91,,,
Mashpee,04/29/2020,37,240.61,,,
Mattapoisett,04/29/2020,15,259.45,,,
Maynard,04/29/2020,35,335.42,,,
Medfield,04/29/2020,28,245.61,,,
Medford,04/29/2020,756,1243.13,,,
Medway,04/29/2020,61,466.36,,,
Melrose,04/29/2020,157,542.84,,,
Mendon,04/29/2020,14,241.67,,,
Merrimac,04/29/2020,16,250.39,,,
Methuen,04/29/2020,576,1075.61,,,
Middleborough,04/29/2020,123,456.88,,,
Middlefield,04/29/2020,0,0,,,
Middleton,04/29/2020,109,1056.27,,,
Milford,04/29/2020,316,1078.38,,,
Millbury,04/29/2020,144,1054.4,,,
Millis,04/29/2020,32,405.28,,,
Millville,04/29/2020,10,281.63,,,
Milton,04/29/2020,195,681.11,,,
Monroe,04/29/2020,0,0,,,
Monson,04/29/2020,18,213.39,,,
Montague,04/29/2020,19,222.26,,,
Monterey,04/29/2020,0,0,,,
Montgomery,04/29/2020,<5,*,,,
Mount Washington,04/29/2020,0,0,,,
Nahant,04/29/2020,29,886.33,,,
Nantucket,04/29/2020,11,97.01,,,
Natick,04/29/2020,280,779.45,,,
Needham,04/29/2020,217,740.31,,,
New Ashford,04/29/2020,0,0,,,
New Bedford,04/29/2020,579,581.59,,,
New Braintree,04/29/2020,<5,*,,,
New Marlborough,04/29/2020,<5,*,,,
New Salem,04/29/2020,0,0,,,
Newbury,04/29/2020,6,90.24,,,
Newburyport,04/29/2020,46,258.37,,,
Newton,04/29/2020,553,602.87,,,
Norfolk,04/29/2020,18,145.8,,,
North Adams,04/29/2020,42,321.67,,,
North Andover,04/29/2020,170,562.01,,,
North Attleborough,04/29/2020,158,522.92,,,
North Brookfield,04/29/2020,7,150.65,,,
North Reading,04/29/2020,141,852.75,,,
Northampton,04/29/2020,167,571.3,,,
Northborough,04/29/2020,130,949.54,,,
Northbridge,04/29/2020,117,650.57,,,
Northfield,04/29/2020,0,0,,,
Norton,04/29/2020,86,432.97,,,
Norwell,04/29/2020,77,719.3,,,
Norwood,04/29/2020,390,1295.15,,,
Oak Bluffs,04/29/2020,<5,*,,,
Oakham,04/29/2020,<5,*,,,
Orange,04/29/2020,26,318.52,,,
Orleans,04/29/2020,13,230.17,,,
Otis,04/29/2020,<5,*,,,
Oxford,04/29/2020,29,210.41,,,
Palmer,04/29/2020,23,193.37,,,
Paxton,04/29/2020,13,262.67,,,
Peabody,04/29/2020,611,1095.66,,,
Pelham,04/29/2020,<5,*,,,
Pembroke,04/29/2020,52,278.47,,,
Pepperell,04/29/2020,28,228,,,
Peru,04/29/2020,<5,*,,,
Petersham,04/29/2020,5,394.7,,,
Phillipston,04/29/2020,8,466.69,,,
Pittsfield,04/29/2020,131,295.86,,,
Plainfield,04/29/2020,0,0,,,
Plainville,04/29/2020,39,427.46,,,
Plymouth,04/29/2020,222,357.86,,,
Plympton,04/29/2020,5,167.28,,,
Princeton,04/29/2020,<5,*,,,
Provincetown,04/29/2020,21,800.34,,,
Quincy,04/29/2020,767,758.35,,,
Randolph,04/29/2020,643,1879.07,,,
Raynham,04/29/2020,176,1178.28,,,
Reading,04/29/2020,190,691.31,,,
Rehoboth,04/29/2020,32,253.65,,,
Revere,04/29/2020,1123,1843.51,,,
Richmond,04/29/2020,5,376.53,,,
Rochester,04/29/2020,14,248.33,,,
Rockland,04/29/2020,206,1142.13,,,
Rockport,04/29/2020,33,503.49,,,
Rowe,04/29/2020,0,0,,,
Rowley,04/29/2020,28,453.54,,,
Royalston,04/29/2020,<5,*,,,
Russell,04/29/2020,8,423.95,,,
Rutland,04/29/2020,28,310.8,,,
Salem,04/29/2020,369,819.66,,,
Salisbury,04/29/2020,33,373.28,,,
Sandisfield,04/29/2020,<5,*,,,
Sandwich,04/29/2020,66,313.77,,,
Saugus,04/29/2020,298,1048.36,,,
Savoy,04/29/2020,<5,*,,,
Scituate,04/29/2020,62,342.13,,,
Seekonk,04/29/2020,43,307.09,,,
Sharon,04/29/2020,91,496.98,,,
Sheffield,04/29/2020,11,356.33,,,
Shelburne,04/29/2020,6,324.45,,,
Sherborn,04/29/2020,10,260.6,,,
Shirley,04/29/2020,115,1364.32,,,
Shrewsbury,04/29/2020,183,464.48,,,
Shutesbury,04/29/2020,<5,*,,,
Somerset,04/29/2020,61,329.59,,,
Somerville,04/29/2020,573,748.64,,,
South Hadley,04/29/2020,51,281.78,,,
Southampton,04/29/2020,25,416.28,,,
Southborough,04/29/2020,27,277.7,,,
Southbridge,04/29/2020,53,314.67,,,
Southwick,04/29/2020,39,398.23,,,
Spencer,04/29/2020,23,199.65,,,
Springfield,04/29/2020,1317,831.79,,,
Sterling,04/29/2020,26,330.23,,,
Stockbridge,04/29/2020,10,573.54,,,
Stoneham,04/29/2020,260,1165.71,,,
Stoughton,04/29/2020,401,1449.88,,,
Stow,04/29/2020,16,221.92,,,
Sturbridge,04/29/2020,24,229.84,,,
Sudbury,04/29/2020,76,424.49,,,
Sunderland,04/29/2020,9,236.75,,,
Sutton,04/29/2020,25,278.26,,,
Swampscott,04/29/2020,97,707.68,,,
Swansea,04/29/2020,54,338.14,,,
Taunton,04/29/2020,558,974.18,,,
Templeton,04/29/2020,93,1041.32,,,
Tewksbury,04/29/2020,357,1159.44,,,
Tisbury,04/29/2020,<5,*,,,
Tolland,04/29/2020,<5,*,,,
Topsfield,04/29/2020,87,1488.72,,,
Townsend,04/29/2020,21,229.54,,,
Truro,04/29/2020,9,455.74,,,
Tyngsborough,04/29/2020,72,600.46,,,
Tyringham,04/29/2020,<5,*,,,
Upton,04/29/2020,13,143.79,,,
Uxbridge,04/29/2020,51,330.88,,,
Wakefield,04/29/2020,210,777.64,,,
Wales,04/29/2020,<5,*,,,
Walpole,04/29/2020,178,687.24,,,
Waltham,04/29/2020,748,1122.12,,,
Ware,04/29/2020,15,147.95,,,
Wareham,04/29/2020,115,480.15,,,
Warren,04/29/2020,6,110.66,,,
Warwick,04/29/2020,0,0,,,
Washington,04/29/2020,<5,*,,,
Watertown,04/29/2020,273,822.97,,,
Wayland,04/29/2020,59,444.21,,,
Webster,04/29/2020,75,436.27,,,
Wellesley,04/29/2020,187,628.9,,,
Wellfleet,04/29/2020,<5,*,,,
Wendell,04/29/2020,0,0,,,
Wenham,04/29/2020,12,230.5,,,
West Boylston,04/29/2020,26,331.2,,,
West Bridgewater,04/29/2020,65,896.86,,,
West Brookfield,04/29/2020,10,269.57,,,
