City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Abington,11/27/2020,439,60,23.5,Lower,11363,1386,64,4.62%,Lower
Acton,11/27/2020,305,53,16.0,Higher,17234,2243,56,2.50%,Higher
Acushnet,11/27/2020,282,55,37.6,Higher,7539,1181,58,4.91%,Lower
Adams,11/27/2020,60,11,9.5,Higher,5129,794,12,1.51%,Higher
Agawam,11/27/2020,871,122,30.6,Higher,24967,3379,140,4.14%,No Change
Alford,11/27/2020,<5,0,0,No Change,123,13,0,0%,No Change
Amesbury,11/27/2020,316,57,24.5,Higher,11591,1705,61,3.58%,Higher
Amherst,11/27/2020,523,156,27.7,Higher,165482,24734,179,0.72%,Higher
Andover,11/27/2020,765,207,41.0,Higher,40123,6879,246,3.58%,Higher
Aquinnah,11/27/2020,<5,0,0,No Change,300,41,0,0%,No Change
Arlington,11/27/2020,549,84,13.1,Higher,44417,6433,95,1.48%,Higher
Ashburnham,11/27/2020,84,23,26.1,Higher,4872,719,24,3.34%,Higher
Ashby,11/27/2020,51,17,34.8,Higher,1801,266,17,6.39%,No Change
Ashfield,11/27/2020,8,0,0,No Change,1052,125,0,0%,No Change
Ashland,11/27/2020,513,86,31.2,Lower,15661,2307,94,4.07%,Lower
Athol,11/27/2020,146,15,8.9,Lower,8973,984,19,1.93%,No Change
Attleboro,11/27/2020,1438,284,43.6,Higher,30359,4423,309,6.99%,Higher
Auburn,11/27/2020,432,81,35.1,Higher,14157,2115,85,4.02%,Higher
Avon,11/27/2020,130,19,31.0,Lower,3281,384,24,6.25%,Higher
Ayer,11/27/2020,190,17,15.0,Higher,9158,990,18,1.82%,Higher
Barnstable,11/27/2020,935,288,45.9,Higher,26762,3933,307,7.81%,Higher
Barre,11/27/2020,89,9,11.6,Higher,3514,409,12,2.93%,Higher
Becket,11/27/2020,19,<5,4.0,Lower,992,165,2,1.21%,No Change
Bedford,11/27/2020,343,22,10.5,Higher,16638,1611,25,1.55%,Higher
Belchertown,11/27/2020,217,30,13.3,No Change,14246,2020,36,1.78%,No Change
Bellingham,11/27/2020,306,73,28.9,Higher,10199,1536,78,5.08%,Higher
Belmont,11/27/2020,372,39,10.2,Higher,27051,3875,46,1.19%,No Change
Berkley,11/27/2020,162,26,27.3,Lower,4618,644,29,4.50%,Lower
Berlin,11/27/2020,44,9,19.9,Lower,2516,380,9,2.37%,Lower
Bernardston,11/27/2020,18,5,17.2,Higher,1705,230,6,2.61%,Higher
Beverly,11/27/2020,1068,170,29.6,Higher,65783,10366,189,1.82%,Higher
Billerica,11/27/2020,1092,215,35.2,Higher,31473,4905,244,4.97%,Higher
Blackstone,11/27/2020,152,36,28.5,Higher,5459,775,39,5.03%,Higher
Blandford,11/27/2020,15,0,0,Lower,591,81,0,0%,Lower
Bolton,11/27/2020,45,12,17.0,No Change,4367,589,15,2.55%,Lower
Boston,11/27/2020,26150,3285,33.9,Higher,1457563,219762,3814,1.74%,No Change
Bourne,11/27/2020,300,45,15.3,Higher,15544,2052,50,2.44%,Higher
Boxborough,11/27/2020,55,16,22.5,Higher,3596,483,16,3.31%,Higher
Boxford,11/27/2020,115,29,27.1,Higher,6292,999,34,3.40%,Higher
Boylston,11/27/2020,58,14,22.3,Higher,3745,537,14,2.61%,Lower
Braintree,11/27/2020,1236,139,25.0,Higher,34946,5385,151,2.80%,Higher
Brewster,11/27/2020,139,8,5.8,Higher,6076,678,9,1.33%,Higher
Bridgewater,11/27/2020,592,73,18.2,Higher,29572,3795,80,2.11%,Higher
Brimfield,11/27/2020,39,12,23.0,Lower,2205,298,12,4.03%,Lower
Brockton,11/27/2020,6170,515,37.1,Higher,86984,9876,618,6.26%,Higher
Brookfield,11/27/2020,50,14,27.1,Higher,2221,261,16,6.13%,Higher
Brookline,11/27/2020,732,98,10.8,Lower,84229,13397,113,0.84%,Lower
Buckland,11/27/2020,16,<5,3.9,Higher,176,20,1,5.00%,Higher
Burlington,11/27/2020,493,80,20.5,Higher,19430,2628,98,3.73%,Higher
Cambridge,11/27/2020,1830,354,22.6,Higher,341107,55498,401,0.72%,Higher
Canton,11/27/2020,506,34,10.5,Lower,22601,3052,35,1.15%,Lower
Carlisle,11/27/2020,40,8,12.1,Higher,3478,411,8,1.95%,Higher
Carver,11/27/2020,143,17,9.9,Lower,6303,658,17,2.58%,Lower
Charlemont,11/27/2020,<5,0,0,No Change,851,96,0,0%,No Change
Charlton,11/27/2020,239,75,37.8,Higher,11357,1859,81,4.36%,Higher
Chatham,11/27/2020,52,5,6.1,Lower,3492,372,6,1.61%,Lower
Chelmsford,11/27/2020,855,180,35.7,Higher,28802,3793,193,5.09%,Higher
Chelsea,11/27/2020,4631,377,72.9,Higher,54658,6383,461,7.22%,No Change
Cheshire,11/27/2020,15,9,21.9,Higher,1957,329,9,2.74%,Higher
Chester,11/27/2020,8,<5,10.5,Higher,607,81,2,2.47%,Higher
Chesterfield,11/27/2020,10,0,0,No Change,640,70,0,0%,No Change
Chicopee,11/27/2020,1393,333,41.9,Higher,42180,6655,400,6.01%,Higher
Chilmark,11/27/2020,5,<5,28.2,No Change,2136,272,4,1.47%,No Change
Clarksburg,11/27/2020,14,<5,17.1,Lower,775,113,4,3.54%,Lower
Clinton,11/27/2020,501,70,35.5,Lower,10657,1290,80,6.20%,Lower
Cohasset,11/27/2020,72,10,9.7,Lower,5490,927,11,1.19%,Lower
Colrain,11/27/2020,5,0,0,No Change,1029,124,0,0%,No Change
Concord,11/27/2020,337,116,44.2,Higher,21323,3244,120,3.70%,Higher
Conway,11/27/2020,<5,0,0,No Change,1308,148,0,0%,No Change
Cummington,11/27/2020,8,<5,18.2,Higher,777,103,2,1.94%,Higher
Dalton,11/27/2020,58,21,23.2,Higher,4196,865,21,2.43%,Lower
Danvers,11/27/2020,1072,151,37.6,Higher,27150,3944,167,4.23%,Higher
Dartmouth,11/27/2020,1040,277,53.3,Higher,30785,4776,312,6.53%,Higher
Dedham,11/27/2020,700,69,18.0,Higher,27523,3313,77,2.32%,Higher
Deerfield,11/27/2020,32,6,8.1,Lower,14569,2023,6,0.30%,No Change
Dennis,11/27/2020,146,18,9.8,Higher,7059,870,19,2.18%,Higher
Dighton,11/27/2020,182,53,47.8,Higher,4944,739,63,8.53%,Higher
Douglas,11/27/2020,140,41,30.9,Lower,5444,774,47,6.07%,Lower
Dover,11/27/2020,58,16,22.3,Higher,5098,722,16,2.22%,Higher
Dracut,11/27/2020,955,186,41.0,Higher,25801,3426,204,5.95%,Higher
Dudley,11/27/2020,228,73,41.8,Higher,24495,3269,78,2.39%,Higher
Dunstable,11/27/2020,35,14,30.0,No Change,1986,277,14,5.05%,Lower
Duxbury,11/27/2020,228,28,13.2,Higher,11739,1357,30,2.21%,Higher
East Bridgewater,11/27/2020,298,27,13.0,Higher,8603,1116,30,2.69%,Higher
East Brookfield,11/27/2020,27,8,25.5,Higher,1321,182,8,4.40%,Higher
East Longmeadow,11/27/2020,548,92,38.6,Higher,15099,2238,114,5.09%,Higher
Eastham,11/27/2020,30,7,10.9,Higher,2175,217,7,3.23%,Higher
Easthampton,11/27/2020,229,34,15.0,Lower,23662,3322,35,1.05%,Lower
Easton,11/27/2020,539,105,31.6,Higher,46726,6445,106,1.64%,Higher
Edgartown,11/27/2020,74,38,66.4,Higher,6083,955,38,3.98%,Lower
Egremont,11/27/2020,8,<5,6.7,No Change,613,96,1,1.04%,Lower
Erving,11/27/2020,11,<5,10.1,No Change,1358,165,3,1.82%,Lower
Essex,11/27/2020,36,<5,7.7,Higher,2054,279,4,1.43%,Higher
Everett,11/27/2020,3471,492,72.4,Higher,49622,6936,586,8.45%,No Change
Fairhaven,11/27/2020,540,110,49.1,Higher,15177,2439,128,5.25%,Lower
Fall River,11/27/2020,4580,1154,92.3,Higher,79344,12517,1391,11.11%,Higher
Falmouth,11/27/2020,367,40,9.2,Higher,25254,3013,48,1.59%,Higher
Fitchburg,11/27/2020,1652,311,52.7,Lower,34340,4726,366,7.74%,No Change
Florida,11/27/2020,<5,0,0,No Change,301,35,0,0%,No Change
Foxborough,11/27/2020,319,78,30.6,Higher,24512,2805,84,2.99%,Higher
Framingham,11/27/2020,3221,388,37.3,Higher,67845,9589,448,4.67%,Higher
Franklin,11/27/2020,430,113,23.8,Higher,21625,3117,123,3.95%,Lower
Freetown,11/27/2020,223,40,31.6,Lower,5701,824,44,5.34%,Lower
Gardner,11/27/2020,409,84,30.2,Higher,17626,1912,97,5.07%,Higher
Georgetown,11/27/2020,141,31,24.6,Higher,6090,886,36,4.06%,Higher
Gill,11/27/2020,<5,0,0,Lower,2547,358,1,0.28%,No Change
Gloucester,11/27/2020,503,74,18.6,Higher,19425,2295,87,3.79%,Higher
Goshen,11/27/2020,8,<5,18.5,Higher,354,57,3,5.26%,Higher
Gosnold,11/27/2020,5,0,0,No Change,111,0,0,0%,No Change
Grafton,11/27/2020,261,80,28.4,Higher,16374,2457,85,3.46%,Higher
Granby,11/27/2020,92,22,25.7,Higher,5077,764,23,3.01%,Higher
Granville,11/27/2020,23,5,23.0,Lower,975,141,7,4.96%,Lower
Great Barrington,11/27/2020,97,12,12.8,Higher,12450,2013,14,0.70%,Higher
Greenfield,11/27/2020,274,19,7.9,Higher,14837,1639,20,1.22%,Higher
Groton,11/27/2020,115,38,23.2,Higher,10932,1487,39,2.62%,Higher
Groveland,11/27/2020,89,19,19.8,Higher,4690,661,25,3.78%,Higher
Hadley,11/27/2020,63,7,8.6,No Change,11171,1539,7,0.45%,No Change
Halifax,11/27/2020,106,19,17.8,Higher,4488,506,21,4.15%,Higher
Hamilton,11/27/2020,78,13,12.6,Higher,5175,794,15,1.89%,No Change
Hampden,11/27/2020,168,40,58.3,Higher,4384,690,48,6.96%,Higher
Hancock,11/27/2020,5,<5,22.3,Higher,127,17,2,11.76%,Higher
Hanover,11/27/2020,234,38,18.9,Higher,9111,1143,44,3.85%,Higher
Hanson,11/27/2020,211,31,20.6,Higher,6605,789,33,4.18%,Lower
Hardwick,11/27/2020,17,5,10.7,Higher,1574,201,6,2.99%,Higher
Harvard,11/27/2020,38,6,6.2,Lower,4105,512,6,1.17%,Lower
Harwich,11/27/2020,202,14,7.9,Higher,7473,926,17,1.84%,Higher
Hatfield,11/27/2020,39,14,30.9,Lower,2802,439,15,3.42%,Lower
Haverhill,11/27/2020,2464,406,44.0,Higher,61604,8541,466,5.46%,Higher
Hawley,11/27/2020,0,0,0,No Change,55,8,0,0%,No Change
Heath,11/27/2020,0,0,0,No Change,307,35,0,0%,No Change
Hingham,11/27/2020,504,56,16.7,Higher,19833,2553,60,2.35%,Higher
Hinsdale,11/27/2020,8,<5,6.7,No Change,1354,217,2,0.92%,Lower
Holbrook,11/27/2020,318,33,20.8,Higher,7930,1032,35,3.39%,Higher
Holden,11/27/2020,341,105,39.5,Higher,17553,2498,111,4.44%,Higher
Holland,11/27/2020,23,7,19.5,Higher,1452,178,7,3.93%,Higher
Holliston,11/27/2020,221,49,25.5,Higher,11406,1477,52,3.52%,Higher
Holyoke,11/27/2020,1922,311,54.7,Lower,41267,6127,382,6.23%,Lower
Hopedale,11/27/2020,109,34,43.1,Higher,4676,675,34,5.04%,Higher
Hopkinton,11/27/2020,240,46,20.1,Higher,13865,1881,48,2.55%,Higher
Hubbardston,11/27/2020,36,15,22.9,Higher,2996,390,15,3.85%,Higher
Hudson,11/27/2020,487,93,31.5,Higher,15159,2273,105,4.62%,Higher
Hull,11/27/2020,128,25,18.2,Higher,6080,786,28,3.56%,Lower
Huntington,11/27/2020,32,6,19.5,Lower,1445,169,6,3.55%,Lower
Ipswich,11/27/2020,171,43,22.9,Higher,9713,1308,56,4.28%,Higher
Kingston,11/27/2020,268,25,13.1,Higher,10830,1309,29,2.22%,Higher
Lakeville,11/27/2020,182,42,26.4,Higher,7070,978,45,4.60%,Higher
Lancaster,11/27/2020,182,35,29.1,Higher,5459,687,38,5.53%,Higher
Lanesborough,11/27/2020,28,13,30.7,Higher,1869,321,13,4.05%,Higher
Lawrence,11/27/2020,8446,1397,113.7,Higher,95643,13548,1828,13.49%,Higher
Lee,11/27/2020,54,23,28.2,Higher,3788,748,30,4.01%,Higher
Leicester,11/27/2020,300,57,36.1,Higher,9523,1135,60,5.29%,Higher
Lenox,11/27/2020,63,26,38.4,Higher,4569,909,31,3.41%,Higher
Leominster,11/27/2020,1539,341,60.3,Lower,34063,4659,377,8.09%,Higher
Leverett,11/27/2020,9,<5,3.5,Higher,2432,321,1,0.31%,Higher
Lexington,11/27/2020,428,26,5.4,Higher,25370,3499,30,0.86%,No Change
Leyden,11/27/2020,<5,<5,11.7,Higher,128,19,1,5.26%,Higher
Lincoln,11/27/2020,66,5,4.1,Lower,5430,715,7,0.98%,Lower
Littleton,11/27/2020,181,27,19.8,Higher,7716,973,29,2.98%,Higher
Longmeadow,11/27/2020,363,51,23.6,Higher,15299,2603,57,2.19%,Lower
Lowell,11/27/2020,6129,1312,80.7,Higher,107137,14957,1523,10.18%,Higher
Ludlow,11/27/2020,415,141,48.6,Higher,16415,2675,174,6.50%,Higher
Lunenburg,11/27/2020,195,68,46.6,Lower,7279,1044,72,6.90%,Higher
Lynn,11/27/2020,7136,1026,72.7,Higher,92775,12562,1251,9.96%,Higher
Lynnfield,11/27/2020,273,62,38.2,Higher,10924,1736,71,4.09%,Higher
Malden,11/27/2020,2375,352,37.2,Higher,62079,8580,407,4.74%,Higher
Manchester,11/27/2020,45,6,8.7,Lower,3483,559,6,1.07%,Lower
Mansfield,11/27/2020,374,66,19.9,Higher,17317,2399,69,2.88%,Higher
Marblehead,11/27/2020,383,57,21.4,Higher,16428,2459,68,2.77%,Higher
Marion,11/27/2020,94,32,49.7,Lower,9217,1159,38,3.28%,Higher
Marlborough,11/27/2020,1784,202,33.1,Higher,38876,5043,228,4.52%,Higher
Marshfield,11/27/2020,393,62,17.1,Higher,15628,1967,72,3.66%,Higher
Mashpee,11/27/2020,136,27,12.4,Higher,9801,1302,31,2.38%,Higher
Mattapoisett,11/27/2020,104,19,23.7,Lower,4080,626,19,3.04%,Lower
Maynard,11/27/2020,165,41,28.1,Higher,8341,1144,45,3.93%,Higher
Medfield,11/27/2020,123,36,22.8,Lower,10114,1592,37,2.32%,Lower
Medford,11/27/2020,1761,235,27.6,Higher,116800,19988,273,1.37%,No Change
Medway,11/27/2020,218,33,18.0,Higher,9791,1364,37,2.71%,Higher
Melrose,11/27/2020,574,123,30.3,Higher,31222,4536,143,3.15%,Higher
Mendon,11/27/2020,87,26,32.2,Higher,3984,497,27,5.43%,Higher
Merrimac,11/27/2020,83,26,29.2,Higher,4562,626,33,5.27%,Higher
Methuen,11/27/2020,2396,458,60.8,Higher,47944,7274,546,7.51%,Higher
Middleborough,11/27/2020,492,79,20.6,Higher,16399,2131,88,4.13%,Higher
Middlefield,11/27/2020,<5,0,0,No Change,141,29,0,0%,No Change
Middleton,11/27/2020,429,46,31.5,Higher,8465,1211,63,5.20%,Higher
Milford,11/27/2020,1127,162,39.4,Lower,22381,2738,177,6.46%,Lower
Millbury,11/27/2020,382,87,45.5,Higher,9888,1407,94,6.68%,Higher
Millis,11/27/2020,99,16,14.5,Lower,5592,767,18,2.35%,Lower
Millville,11/27/2020,51,9,17.9,No Change,1817,273,9,3.30%,Lower
Milton,11/27/2020,638,120,29.8,Higher,42533,6025,131,2.17%,Higher
Monroe,11/27/2020,<5,0,0,No Change,45,5,0,0%,No Change
Monson,11/27/2020,130,39,33.2,Higher,5651,810,45,5.56%,Higher
Montague,11/27/2020,52,10,8.5,Lower,6238,747,11,1.47%,Lower
Monterey,11/27/2020,<5,0,0,No Change,626,80,0,0%,No Change
Montgomery,11/27/2020,8,0,0,Lower,163,24,0,0%,Lower
Mount Washington,11/27/2020,0,0,0,No Change,38,3,0,0%,No Change
Nahant,11/27/2020,90,21,46.4,Higher,3240,603,23,3.81%,No Change
Nantucket,11/27/2020,275,72,45.1,Lower,10625,1539,76,4.94%,Lower
Natick,11/27/2020,659,64,12.7,Higher,32641,4946,71,1.44%,No Change
Needham,11/27/2020,532,63,15.4,Higher,33402,4885,71,1.45%,Higher
New Ashford,11/27/2020,<5,0,0,No Change,78,4,0,0%,No Change
New Bedford,11/27/2020,4272,638,45.6,Higher,73592,10354,748,7.22%,Lower
New Braintree,11/27/2020,5,<5,6.7,No Change,547,76,2,2.63%,Lower
New Marlborough,11/27/2020,9,0,0,No Change,594,95,0,0%,No Change
New Salem,11/27/2020,6,0,0,Lower,673,73,0,0%,Lower
Newbury,11/27/2020,65,23,24.9,Higher,6058,963,24,2.49%,Higher
Newburyport,11/27/2020,311,73,29.4,Higher,17225,2543,86,3.38%,No Change
Newton,11/27/2020,1406,196,15.3,Higher,177086,28526,215,0.75%,Higher
Norfolk,11/27/2020,370,49,28.0,Lower,9995,1036,55,5.31%,Lower
North Adams,11/27/2020,96,21,11.6,Higher,13034,1880,21,1.12%,Higher
North Andover,11/27/2020,931,144,34.0,Higher,73050,11049,167,1.51%,Higher
North Attleborough,11/27/2020,583,119,28.0,Higher,18413,2737,130,4.75%,Higher
North Brookfield,11/27/2020,50,13,20.0,Higher,2752,324,13,4.01%,Higher
North Reading,11/27/2020,369,63,27.0,Higher,14388,2399,76,3.17%,Higher
Northampton,11/27/2020,428,57,13.9,Higher,38632,5167,64,1.24%,Higher
Northborough,11/27/2020,368,57,30.0,Higher,13886,1997,70,3.51%,Higher
Northbridge,11/27/2020,521,90,35.3,Lower,12993,2253,105,4.66%,Lower
Northfield,11/27/2020,9,<5,4.8,Higher,2441,296,2,0.68%,Higher
Norton,11/27/2020,391,104,37.3,Higher,41539,4427,110,2.48%,Higher
Norwell,11/27/2020,181,10,6.7,Lower,8482,1183,11,0.93%,Lower
Norwood,11/27/2020,938,98,23.1,Lower,27138,3819,115,3.01%,Lower
Oak Bluffs,11/27/2020,50,36,49.4,Higher,3942,557,36,6.46%,Higher
Oakham,11/27/2020,18,<5,13.4,Higher,1167,172,4,2.33%,Higher
Orange,11/27/2020,64,5,4.4,Lower,5507,650,5,0.77%,Lower
Orleans,11/27/2020,27,<5,5.1,Higher,2734,304,4,1.32%,Higher
Otis,11/27/2020,9,<5,7.6,Lower,736,106,2,1.89%,Lower
Oxford,11/27/2020,216,46,23.9,Lower,8751,1169,50,4.28%,Lower
Palmer,11/27/2020,178,41,24.8,Higher,8209,1226,50,4.08%,Higher
Paxton,11/27/2020,103,29,41.8,Higher,13119,1008,33,3.27%,Higher
Peabody,11/27/2020,1974,394,50.3,Higher,47516,7774,463,5.96%,Higher
Pelham,11/27/2020,<5,<5,11.6,No Change,583,60,2,3.33%,Higher
Pembroke,11/27/2020,245,43,16.4,Higher,10572,1303,48,3.68%,Higher
Pepperell,11/27/2020,120,26,15.1,Higher,6534,860,27,3.14%,Higher
Peru,11/27/2020,<5,<5,8.6,No Change,233,27,1,3.70%,Higher
Petersham,11/27/2020,14,0,0,Lower,807,97,0,0%,Lower
Phillipston,11/27/2020,21,<5,4.2,Higher,843,95,1,1.05%,Higher
Pittsfield,11/27/2020,665,231,37.5,Higher,32658,6039,247,4.09%,Lower
Plainfield,11/27/2020,7,5,57.1,Higher,391,56,6,10.71%,Higher
Plainville,11/27/2020,154,21,16.3,Lower,6327,915,24,2.62%,Lower
Plymouth,11/27/2020,1172,148,16.9,Higher,40568,5424,160,2.95%,Higher
Plympton,11/27/2020,28,9,21.4,Higher,1572,211,10,4.74%,Higher
Princeton,11/27/2020,30,15,33.2,Higher,2913,384,15,3.91%,Higher
Provincetown,11/27/2020,32,0,0,No Change,2391,182,0,0%,No Change
Quincy,11/27/2020,2091,268,18.9,Higher,80112,11169,298,2.67%,Higher
Randolph,11/27/2020,1454,168,34.8,Higher,30676,3920,186,4.74%,Higher
Raynham,11/27/2020,393,46,21.7,Higher,10656,1489,51,3.43%,Higher
Reading,11/27/2020,523,91,23.5,Higher,22052,3186,99,3.11%,Higher
Rehoboth,11/27/2020,222,62,34.8,Higher,6600,1109,66,5.95%,Higher
Revere,11/27/2020,4098,455,53.4,Lower,65809,8805,593,6.73%,Lower
Richmond,11/27/2020,13,<5,5.5,No Change,811,107,1,0.93%,Lower
Rochester,11/27/2020,79,16,20.1,Higher,3285,476,18,3.78%,Higher
Rockland,11/27/2020,509,54,21.3,Higher,11131,1391,65,4.67%,Lower
Rockport,11/27/2020,106,11,12.2,Higher,4180,507,12,2.37%,Higher
Rowe,11/27/2020,<5,0,0,No Change,236,27,0,0%,No Change
Rowley,11/27/2020,102,10,11.6,Higher,4586,553,12,2.17%,Lower
Royalston,11/27/2020,7,<5,11.2,Higher,771,103,2,1.94%,Higher
Russell,11/27/2020,38,<5,15.1,No Change,1060,140,4,2.86%,Higher
Rutland,11/27/2020,127,37,29.0,Higher,6944,930,40,4.30%,Higher
Salem,11/27/2020,1439,315,50.0,Higher,50256,8673,380,4.38%,Higher
Salisbury,11/27/2020,150,40,32.3,Higher,5482,785,44,5.61%,Higher
Sandisfield,11/27/2020,8,0,0,No Change,794,83,0,0%,No Change
Sandwich,11/27/2020,175,19,6.4,Lower,11632,1693,20,1.18%,Lower
Saugus,11/27/2020,1195,181,45.4,Higher,27341,3856,224,5.81%,Higher
Savoy,11/27/2020,<5,<5,11.5,Higher,315,53,1,1.89%,Higher
Scituate,11/27/2020,331,43,17.0,Higher,12494,1588,44,2.77%,No Change
Seekonk,11/27/2020,336,81,41.3,Higher,7753,1210,91,7.52%,No Change
Sharon,11/27/2020,276,47,18.4,Higher,14671,1916,51,2.66%,Higher
Sheffield,11/27/2020,31,5,11.7,Higher,6127,1255,5,0.40%,Higher
Shelburne,11/27/2020,15,0,0,Lower,2523,290,2,0.69%,Lower
Sherborn,11/27/2020,35,6,11.4,Higher,3355,464,6,1.29%,Higher
Shirley,11/27/2020,423,183,153.3,Higher,6941,792,188,23.74%,Higher
Shrewsbury,11/27/2020,731,153,27.7,Higher,32622,4535,176,3.88%,Higher
Shutesbury,11/27/2020,<5,<5,4.1,No Change,1592,220,1,0.45%,No Change
Somerset,11/27/2020,595,149,57.5,Lower,14099,1983,167,8.42%,Lower
Somerville,11/27/2020,2005,373,35.2,Higher,193303,33713,433,1.28%,No Change
South Hadley,11/27/2020,304,44,17.4,Higher,18760,2714,58,2.14%,Higher
Southampton,11/27/2020,66,11,13.1,No Change,4319,616,13,2.11%,Lower
Southborough,11/27/2020,111,16,11.8,Higher,12786,1908,16,0.84%,Higher
Southbridge,11/27/2020,440,136,57.9,Higher,11762,1528,147,9.62%,Higher
Southwick,11/27/2020,168,60,43.7,Higher,5975,813,63,7.75%,Higher
Spencer,11/27/2020,194,52,32.4,Higher,8346,1089,53,4.87%,Higher
Springfield,11/27/2020,6560,1387,63.4,Higher,139906,20717,1696,8.19%,Higher
Sterling,11/27/2020,217,55,50.0,Higher,7751,1001,62,6.19%,Higher
Stockbridge,11/27/2020,21,5,20.9,Higher,1457,326,5,1.53%,No Change
Stoneham,11/27/2020,674,117,37.5,Higher,22711,3467,141,4.07%,Higher
Stoughton,11/27/2020,907,109,28.1,Higher,21740,2774,122,4.40%,Higher
Stow,11/27/2020,75,25,24.6,Higher,5722,798,29,3.63%,Higher
Sturbridge,11/27/2020,115,32,21.6,Higher,6300,859,32,3.73%,Higher
Sudbury,11/27/2020,286,25,10.0,Higher,15274,2018,31,1.54%,Higher
Sunderland,11/27/2020,52,16,30.7,Higher,11341,1676,18,1.07%,Higher
Sutton,11/27/2020,159,46,36.7,Higher,6635,933,50,5.36%,Higher
Swampscott,11/27/2020,262,49,25.7,Higher,15051,2774,60,2.16%,Higher
Swansea,11/27/2020,471,154,69.0,Higher,11513,2043,190,9.30%,Higher
Taunton,11/27/2020,1714,285,35.4,Higher,44560,5730,316,5.51%,Higher
Templeton,11/27/2020,182,31,24.5,Higher,5906,788,35,4.44%,No Change
Tewksbury,11/27/2020,1013,185,42.9,Higher,32167,4487,201,4.48%,Higher
Tisbury,11/27/2020,88,33,56.5,Lower,7661,1212,36,2.97%,Lower
Tolland,11/27/2020,<5,<5,34.5,Higher,91,12,2,16.67%,Higher
Topsfield,11/27/2020,149,12,14.8,Higher,6264,914,14,1.53%,Higher
Townsend,11/27/2020,108,23,18.0,Lower,5652,723,28,3.87%,Lower
Truro,11/27/2020,15,<5,3.6,Higher,1067,83,1,1.20%,Higher
Tyngsborough,11/27/2020,284,63,37.6,Higher,8416,1169,70,5.99%,No Change
Tyringham,11/27/2020,<5,0,0,No Change,194,26,0,0%,No Change
Upton,11/27/2020,77,26,20.2,Higher,4945,737,29,3.93%,Higher
Uxbridge,11/27/2020,261,56,25.6,Lower,9239,1267,65,5.13%,Lower
Wakefield,11/27/2020,614,108,28.5,Higher,25308,3598,136,3.78%,Higher
Wales,11/27/2020,12,<5,11.2,Higher,895,115,5,4.35%,Higher
Walpole,11/27/2020,469,67,18.4,Lower,20939,2754,82,2.98%,Lower
Waltham,11/27/2020,2084,216,23.2,Higher,137563,20655,243,1.18%,No Change
Ware,11/27/2020,109,35,24.6,Higher,7019,983,38,3.87%,Higher
Wareham,11/27/2020,397,58,17.1,Higher,12150,1589,67,4.22%,Lower
Warren,11/27/2020,49,13,17.1,Higher,2579,292,14,4.79%,Higher
Warwick,11/27/2020,<5,0,0,No Change,387,43,0,0%,No Change
Washington,11/27/2020,<5,0,0,No Change,229,40,0,0%,No Change
Watertown,11/27/2020,701,108,23.4,Higher,36272,5493,123,2.24%,Higher
Wayland,11/27/2020,173,21,11.3,Higher,12631,1894,25,1.32%,No Change
Webster,11/27/2020,492,67,27.9,Higher,15639,2025,76,3.75%,Lower
Wellesley,11/27/2020,424,81,19.5,Higher,78587,11591,90,0.78%,Higher
Wellfleet,11/27/2020,15,<5,7.8,Lower,1510,150,4,2.67%,Lower
Wendell,11/27/2020,<5,<5,10.1,Higher,662,81,1,1.23%,Higher
Wenham,11/27/2020,77,34,46.7,Higher,5732,933,34,3.64%,Higher
West Boylston,11/27/2020,127,34,31.0,Higher,6059,907,36,3.97%,Higher
West Bridgewater,11/27/2020,201,13,12.7,Higher,6801,892,16,1.79%,Higher
West Brookfield,11/27/2020,47,14,27.0,Higher,3378,344,16,4.65%,Higher
West Newbury,11/27/2020,38,7,12.4,Lower,3186,400,7,1.75%,Lower
West Springfield,11/27/2020,910,216,52.6,Higher,21006,3569,249,6.98%,Higher
West Stockbridge,11/27/2020,10,<5,12.2,No Change,923,143,2,1.40%,Lower
West Tisbury,11/27/2020,28,7,17.4,Higher,2751,386,7,1.81%,Higher
Westborough,11/27/2020,545,75,28.6,Higher,17517,2725,81,2.97%,Higher
Westfield,11/27/2020,967,152,26.3,Lower,27829,3800,169,4.45%,Lower
Westford,11/27/2020,330,63,19.5,Higher,16546,2073,68,3.28%,Higher
Westhampton,11/27/2020,16,6,25.0,Higher,681,94,6,6.38%,Higher
Westminster,11/27/2020,104,31,30.3,Higher,5524,769,33,4.29%,Higher
Weston,11/27/2020,195,24,15.6,Lower,13589,1929,28,1.45%,Lower
Westport,11/27/2020,417,115,49.0,Higher,10813,1634,139,8.51%,Lower
Westwood,11/27/2020,276,55,26.7,Higher,13328,1882,56,2.98%,Higher
Weymouth,11/27/2020,1243,128,16.3,Higher,37763,4746,159,3.35%,No Change
Whately,11/27/2020,14,5,24.6,Higher,732,108,6,5.56%,Higher
Whitman,11/27/2020,354,48,22.1,Higher,9612,1228,62,5.05%,Higher
Wilbraham,11/27/2020,404,60,29.5,Higher,20462,3145,73,2.32%,Higher
Williamsburg,11/27/2020,22,5,14.5,Higher,2943,389,5,1.29%,Higher
Williamstown,11/27/2020,111,9,9.0,Higher,40936,6757,9,0.13%,No Change
