City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Rowley,12/17/2020,153,45,52.0,Higher,5580,686,51,7.43%,Higher
Royalston,12/17/2020,17,10,56.1,Higher,946,133,10,7.52%,Higher
Russell,12/17/2020,47,7,26.4,Higher,1260,143,7,4.90%,Higher
Rutland,12/17/2020,219,67,52.5,Higher,8497,1093,75,6.86%,Higher
Salem,12/17/2020,2174,573,90.9,Higher,64721,10909,690,6.33%,Higher
Salisbury,12/17/2020,252,73,58.9,Higher,6786,953,82,8.60%,Higher
Sandisfield,12/17/2020,13,<5,30.7,No Change,966,132,4,3.03%,Lower
Sandwich,12/17/2020,251,62,21.0,Higher,14118,1686,63,3.74%,Higher
Saugus,12/17/2020,1886,541,135.7,Higher,35012,5682,633,11.14%,Higher
Savoy,12/17/2020,<5,0,0,No Change,398,54,0,0%,No Change
Scituate,12/17/2020,413,62,24.5,Higher,15257,1863,63,3.38%,Higher
Seekonk,12/17/2020,579,165,84.1,Lower,9603,1306,182,13.94%,Lower
Sharon,12/17/2020,361,62,24.2,Higher,17650,2056,68,3.31%,Higher
Sheffield,12/17/2020,41,6,14.0,Lower,6830,425,6,1.41%,Lower
Shelburne,12/17/2020,20,<5,7.8,Lower,2943,311,3,0.96%,Lower
Sherborn,12/17/2020,61,21,39.8,Higher,4187,550,22,4.00%,Higher
Shirley,12/17/2020,532,76,63.7,Higher,7843,658,81,12.31%,Lower
Shrewsbury,12/17/2020,1186,358,64.7,Higher,39688,4965,380,7.65%,Higher
Shutesbury,12/17/2020,14,11,45.1,Higher,1872,195,11,5.64%,Higher
Somerset,12/17/2020,890,212,81.8,Higher,17110,2087,240,11.50%,Higher
Somerville,12/17/2020,2702,488,46.1,Higher,240193,32688,549,1.68%,Higher
South Hadley,12/17/2020,418,90,35.6,Higher,22149,2437,103,4.23%,Higher
Southampton,12/17/2020,120,45,53.4,Higher,5283,688,48,6.98%,Higher
Southborough,12/17/2020,193,51,37.7,Lower,15097,1455,53,3.64%,Lower
Southbridge,12/17/2020,741,239,101.8,Higher,14699,2141,291,13.59%,Higher
Southwick,12/17/2020,232,43,31.3,Lower,7138,779,51,6.55%,Lower
Spencer,12/17/2020,313,92,57.3,Higher,10158,1302,109,8.37%,Higher
Springfield,12/17/2020,9231,1941,88.7,Higher,171244,22189,2345,10.57%,Lower
Sterling,12/17/2020,307,59,53.6,Lower,9381,892,65,7.29%,Lower
Stockbridge,12/17/2020,26,<5,16.7,Higher,1968,365,4,1.10%,Lower
Stoneham,12/17/2020,977,217,69.6,Higher,28343,4184,251,6.00%,No Change
Stoughton,12/17/2020,1216,231,59.6,Higher,26555,3408,274,8.04%,Higher
Stow,12/17/2020,103,18,17.7,Lower,6840,777,22,2.83%,Lower
Sturbridge,12/17/2020,202,60,40.5,Higher,7560,891,64,7.18%,Higher
Sudbury,12/17/2020,347,48,19.3,Higher,18630,2275,53,2.33%,Higher
Sunderland,12/17/2020,75,18,34.6,Higher,12478,793,20,2.52%,Higher
Sutton,12/17/2020,278,84,67.0,Lower,8093,1031,89,8.63%,Lower
Swampscott,12/17/2020,452,140,73.4,Higher,19652,3301,173,5.24%,Higher
Swansea,12/17/2020,750,205,91.8,Higher,14247,1894,231,12.20%,Lower
Taunton,12/17/2020,2490,594,73.7,Higher,55326,7862,674,8.57%,Higher
Templeton,12/17/2020,232,35,27.7,Higher,7534,1245,41,3.29%,Lower
Tewksbury,12/17/2020,1506,363,84.1,Higher,39853,5606,411,7.33%,No Change
Tisbury,12/17/2020,130,26,44.5,Higher,9038,864,29,3.36%,Higher
Tolland,12/17/2020,5,<5,17.2,Higher,127,17,1,5.88%,Higher
Topsfield,12/17/2020,216,49,60.6,Higher,7733,1015,57,5.62%,Higher
Townsend,12/17/2020,171,44,34.5,Higher,6752,781,48,6.15%,Higher
Truro,12/17/2020,18,<5,10.9,Higher,1228,116,3,2.59%,Higher
Tyngsborough,12/17/2020,545,198,118.1,Higher,10473,1505,218,14.49%,Higher
Tyringham,12/17/2020,<5,0,0,No Change,218,15,0,0%,No Change
Upton,12/17/2020,113,20,15.5,Lower,5968,694,22,3.17%,Lower
Uxbridge,12/17/2020,379,93,42.6,Higher,11107,1319,98,7.43%,Higher
Wakefield,12/17/2020,928,214,56.4,Higher,31638,4119,252,6.12%,Higher
Wales,12/17/2020,27,14,52.3,Higher,1073,126,17,13.49%,Higher
Walpole,12/17/2020,694,154,42.2,Higher,25530,3037,167,5.50%,No Change
Waltham,12/17/2020,2644,406,43.6,Higher,152528,10694,439,4.11%,Higher
Ware,12/17/2020,158,35,24.6,Higher,8435,983,41,4.17%,Higher
Wareham,12/17/2020,634,170,50.2,Higher,15315,2263,187,8.26%,Higher
Warren,12/17/2020,62,12,15.7,Higher,3068,348,14,4.02%,Higher
Warwick,12/17/2020,<5,<5,9.7,Higher,475,49,1,2.04%,Higher
