Report Date,Code,Name,Students,Staff
09/30/2020,02390000,Plymouth,4,0
09/30/2020,02400000,Plympton,0,0
09/30/2020,02420000,Provincetown,0,0
09/30/2020,02430000,Quincy,2,0
09/30/2020,02440000,Randolph,0,0
09/30/2020,02460000,Reading,0,0
09/30/2020,02480000,Revere,0,0
09/30/2020,02490000,Richmond,0,0
09/30/2020,02500000,Rochester,0,0
09/30/2020,02510000,Rockland,0,0
09/30/2020,02520000,Rockport,0,0
09/30/2020,02530000,Rowe,0,0
09/30/2020,02580000,Salem,0,0
09/30/2020,02610000,Sandwich,0,0
09/30/2020,02620000,Saugus,0,0
09/30/2020,02630000,Savoy,0,0
09/30/2020,02640000,Scituate,0,0
09/30/2020,02650000,Seekonk,0,0
09/30/2020,02660000,Sharon,0,0
09/30/2020,02690000,Sherborn,0,0
09/30/2020,02710000,Shrewsbury,2,1
09/30/2020,02720000,Shutesbury,0,0
09/30/2020,02730000,Somerset,0,0
09/30/2020,02740000,Somerville,0,0
09/30/2020,02750000,Southampton,0,0
09/30/2020,02760000,Southborough,0,0
09/30/2020,02770000,Southbridge,0,0
09/30/2020,02780000,South Hadley,0,0
09/30/2020,02810000,Springfield,0,0
09/30/2020,02840000,Stoneham,0,0
09/30/2020,02850000,Stoughton,0,0
09/30/2020,02870000,Sturbridge,0,0
09/30/2020,02880000,Sudbury,0,0
09/30/2020,02890000,Sunderland,0,0
09/30/2020,02900000,Sutton,0,0
09/30/2020,02910000,Swampscott,0,0
09/30/2020,02920000,Swansea,0,0
09/30/2020,02930000,Taunton,0,0
09/30/2020,02950000,Tewksbury,1,0
09/30/2020,02960000,Tisbury,0,0
09/30/2020,02980000,Topsfield,0,0
09/30/2020,03000000,Truro,0,0
09/30/2020,03010000,Tyngsborough,0,0
09/30/2020,03040000,Uxbridge,0,0
09/30/2020,03050000,Wakefield,0,0
09/30/2020,03060000,Wales,0,0
09/30/2020,03070000,Walpole,1,3
09/30/2020,03080000,Waltham,1,0
09/30/2020,03090000,Ware,0,0
09/30/2020,03100000,Wareham,0,0
09/30/2020,03140000,Watertown,0,0
09/30/2020,03150000,Wayland,0,0
09/30/2020,03160000,Webster,0,0
09/30/2020,03170000,Wellesley,0,0
09/30/2020,03180000,Wellfleet,0,0
09/30/2020,03210000,Westborough,0,0
09/30/2020,03220000,West Boylston,0,0
09/30/2020,03230000,West Bridgewater,0,0
09/30/2020,03250000,Westfield,0,1
09/30/2020,03260000,Westford,0,0
09/30/2020,03270000,Westhampton,0,0
09/30/2020,03300000,Weston,0,0
09/30/2020,03310000,Westport,0,0
09/30/2020,03320000,West Springfield,1,0
09/30/2020,03350000,Westwood,1,0
09/30/2020,03360000,Weymouth,0,0
09/30/2020,03370000,Whately,0,0
09/30/2020,03400000,Williamsburg,0,0
09/30/2020,03420000,Wilmington,0,0
09/30/2020,03430000,Winchendon,0,0
09/30/2020,03440000,Winchester,2,0
09/30/2020,03460000,Winthrop,0,0
09/30/2020,03470000,Woburn,1,0
09/30/2020,03480000,Worcester,0,4
09/30/2020,03490000,Worthington,0,0
09/30/2020,03500000,Wrentham,0,0
09/30/2020,04060000,Northampton-Smith Vocational Agricultural,0,0
09/30/2020,04070000,Dudley Street Neighborhood Charter School (District),0,0
09/30/2020,04090000,Alma del Mar Charter School (District),0,0
09/30/2020,04100000,Excel Academy Charter (District),0,0
09/30/2020,04110000,Boston Green Academy Horace Mann Charter School (District),0,0
09/30/2020,04120000,Academy Of the Pacific Rim Charter Public (District),0,0
09/30/2020,04130000,Four Rivers Charter Public (District),0,0
09/30/2020,04140000,Berkshire Arts and Technology Charter Public (District),0,0
09/30/2020,04160000,Boston Preparatory Charter Public (District),0,0
09/30/2020,04170000,Bridge Boston Charter School (District),0,0
09/30/2020,04180000,Christa McAuliffe Charter Public (District),0,0
09/30/2020,04190000,Helen Y. Davis Leadership Academy Charter Public (District),0,0
09/30/2020,04200000,Benjamin Banneker Charter Public (District),0,0
09/30/2020,04240000,Boston Day and Evening Academy Charter (District),0,0
09/30/2020,04260000,Community Day Charter Public School - Gateway (District),0,0
09/30/2020,04280000,Brooke Charter School (District),0,0
09/30/2020,04290000,KIPP Academy Lynn Charter (District),0,0
09/30/2020,04300000,Advanced Math and Science Academy Charter (District),0,0
09/30/2020,04310000,Community Day Charter Public School - R. Kingman Webster (District),0,0
09/30/2020,04320000,Cape Cod Lighthouse Charter (District),0,0
09/30/2020,04350000,Innovation Academy Charter (District),0,0
09/30/2020,04360000,Community Charter School of Cambridge (District),0,0
09/30/2020,04370000,City on a Hill Charter Public School (District),0,0
09/30/2020,04380000,Codman Academy Charter Public (District),0,0
09/30/2020,04390000,Conservatory Lab Charter (District),0,1
09/30/2020,04400000,Community Day Charter Public School - Prospect (District),0,0
09/30/2020,04410000,Sabis International Charter (District),0,0
09/30/2020,04440000,Neighborhood House Charter (District),0,0
09/30/2020,04450000,Abby Kelley Foster Charter Public (District),0,0
09/30/2020,04460000,Foxborough Regional Charter (District),0,1
09/30/2020,04470000,Benjamin Franklin Classical Charter Public (District),0,0
09/30/2020,04490000,Boston Collegiate Charter (District),0,0
09/30/2020,04500000,Hilltown Cooperative Charter Public (District),0,0
09/30/2020,04520000,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),0,0
09/30/2020,04530000,Holyoke Community Charter (District),0,0
09/30/2020,04540000,Lawrence Family Development Charter (District),0,0
09/30/2020,04550000,Hill View Montessori Charter Public (District),0,0
09/30/2020,04560000,Lowell Community Charter Public (District),2,0
09/30/2020,04580000,Lowell Middlesex Academy Charter (District),0,0
09/30/2020,04630000,KIPP Academy Boston Charter School (District),0,0
09/30/2020,04640000,Marblehead Community Charter Public (District),0,0
09/30/2020,04660000,Martha's Vineyard Charter (District),0,0
09/30/2020,04680000,Ma Academy for Math and Science,0,0
09/30/2020,04690000,MATCH Charter Public School (District),0,0
09/30/2020,04700000,Mystic Valley Regional Charter (District),0,0
09/30/2020,04740000,Sizer School: A North Central Charter Essential (District),0,0
09/30/2020,04780000,Francis W. Parker Charter Essential (District),0,0
09/30/2020,04790000,Pioneer Valley Performing Arts Charter Public (District),0,0
09/30/2020,04800000,UP Academy Charter School of Boston (District),0,0
09/30/2020,04810000,Boston Renaissance Charter Public (District),0,0
09/30/2020,04820000,River Valley Charter (District),0,0
09/30/2020,04830000,Rising Tide Charter Public (District),0,0
09/30/2020,04840000,Roxbury Preparatory Charter (District),0,0
09/30/2020,04850000,Salem Academy Charter (District),0,0
09/30/2020,04860000,Learning First Charter Public (District),0,0
09/30/2020,04870000,Prospect Hill Academy Charter (District),0,0
09/30/2020,04880000,South Shore Charter Public (District),0,0
09/30/2020,04890000,Sturgis Charter Public (District),0,0
09/30/2020,04910000,Atlantis Charter (District),0,0
09/30/2020,04920000,Martin Luther King Jr. Charter School of Excellence (District),0,0
09/30/2020,04930000,Phoenix Charter Academy (District),0,0
09/30/2020,04940000,Pioneer Charter School of Science (District),0,0
09/30/2020,04960000,Global Learning Charter Public (District),0,0
09/30/2020,04970000,Pioneer Valley Chinese Immersion Charter (District),0,0
09/30/2020,04980000,Veritas Preparatory Charter School (District),0,0
09/30/2020,04990000,Hampden Charter School of Science East (District),0,0
09/30/2020,06000000,Acton-Boxborough,1,0
09/30/2020,06030000,Hoosac Valley Regional,0,0
