City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Northborough,07/22/2020,226,<5,Increase,2528,311,3,0.96%
Northbridge,07/22/2020,314,<5,Increase,3113,353,2,0.57%
Northfield,07/22/2020,<5,0,No change,338,73,0,0.00%
Norton,07/22/2020,140,5,Increase,2558,273,6,2.20%
Norwell,07/22/2020,124,<5,Increase,1622,221,3,1.36%
Norwood,07/22/2020,585,9,Increase,6200,643,11,1.71%
Oak Bluffs,07/22/2020,7,<5,Increase,1028,198,1,0.51%
Oakham,07/22/2020,7,0,No change,235,42,0,0.00%
Orange,07/22/2020,43,<5,Decrease,1367,231,3,1.30%
Orleans,07/22/2020,16,0,No change,790,132,0,0.00%
Otis,07/22/2020,<5,0,No change,150,23,0,0.00%
Oxford,07/22/2020,81,0,No change,1855,285,0,0.00%
Palmer,07/22/2020,52,<5,Decrease,1586,317,2,0.63%
Paxton,07/22/2020,33,0,No change,644,104,0,0.00%
Peabody,07/22/2020,1021,16,Decrease,11121,1624,29,1.79%
Pelham,07/22/2020,<5,0,No change,150,32,0,0.00%
Pembroke,07/22/2020,95,<5,Decrease,2467,295,3,1.02%
Pepperell,07/22/2020,54,<5,Increase,1237,146,2,1.37%
Peru,07/22/2020,<5,0,No change,76,12,0,0.00%
Petersham,07/22/2020,7,0,No change,184,22,0,0.00%
Phillipston,07/22/2020,16,0,No change,239,19,0,0.00%
Pittsfield,07/22/2020,188,5,Decrease,7620,1532,6,0.39%
Plainfield,07/22/2020,<5,0,No change,73,10,0,0.00%
Plainville,07/22/2020,69,<5,Increase,1228,161,5,3.11%
Plymouth,07/22/2020,599,2,Decrease,11206,1414,11,0.78%
Plympton,07/22/2020,11,0,No change,385,34,0,0.00%
Princeton,07/22/2020,6,0,No change,498,110,0,0.00%
Provincetown,07/22/2020,23,<5,No change,933,103,1,0.97%
Quincy,07/22/2020,1195,44,Increase,17211,2361,49,2.08%
Randolph,07/22/2020,967,16,Decrease,7941,734,22,3.00%
Raynham,07/22/2020,239,<5,Decrease,2537,179,1,0.56%
Reading,07/22/2020,305,<5,Decrease,4398,663,5,0.75%
Rehoboth,07/22/2020,67,<5,Increase,1293,168,4,2.38%
Revere,07/22/2020,1870,53,Increase,14082,1627,70,4.30%
Richmond,07/22/2020,5,0,No change,168,35,0,0.00%
Rochester,07/22/2020,39,<5,No change,751,71,3,4.23%
Rockland,07/22/2020,285,<5,Decrease,3138,329,3,0.91%
Rockport,07/22/2020,82,<5,No change,1047,142,2,1.41%
Rowe,07/22/2020,0,0,No change,43,8,0,0.00%
Rowley,07/22/2020,63,<5,Decrease,1082,143,3,2.10%
Royalston,07/22/2020,<5,0,No change,162,29,0,0.00%
Russell,07/22/2020,17,<5,Decrease,198,30,5,16.67%
Rutland,07/22/2020,54,<5,No change,1175,182,2,1.10%
Salem,07/22/2020,651,13,Increase,8876,1229,17,1.38%
Salisbury,07/22/2020,59,5,Decrease,1329,192,5,2.60%
Sandisfield,07/22/2020,<5,0,No change,210,40,0,0.00%
Sandwich,07/22/2020,98,<5,Decrease,2644,396,3,0.76%
Saugus,07/22/2020,566,8,No change,5926,718,12,1.67%
Savoy,07/22/2020,<5,<5,Increase,73,26,1,3.85%
Scituate,07/22/2020,195,5,Decrease,2781,347,5,1.44%
Seekonk,07/22/2020,90,<5,Decrease,1582,225,3,1.33%
Sharon,07/22/2020,161,<5,Increase,2727,347,2,0.58%
Sheffield,07/22/2020,15,0,No change,400,93,0,0.00%
Shelburne,07/22/2020,8,0,No change,511,98,0,0.00%
Sherborn,07/22/2020,15,0,No change,542,90,0,0.00%
Shirley,07/22/2020,176,0,Decrease,2947,99,0,0.00%
Shrewsbury,07/22/2020,340,13,Increase,5898,1044,13,1.25%
Shutesbury,07/22/2020,<5,0,No change,196,48,0,0.00%
Somerset,07/22/2020,212,7,Increase,3685,256,9,3.52%
Somerville,07/22/2020,998,24,Increase,20715,2781,29,1.04%
South Hadley,07/22/2020,168,<5,Decrease,2178,339,2,0.59%
Southampton,07/22/2020,31,0,No change,710,135,0,0.00%
Southborough,07/22/2020,44,0,Decrease,1352,197,1,0.51%
Southbridge,07/22/2020,179,8,Increase,2425,516,8,1.55%
Southwick,07/22/2020,56,<5,Decrease,1231,177,2,1.13%
Spencer,07/22/2020,59,7,Increase,1674,309,7,2.27%
Springfield,07/22/2020,2970,77,Decrease,27162,3765,105,2.79%
Sterling,07/22/2020,123,<5,Increase,1414,189,2,1.06%
Stockbridge,07/22/2020,15,<5,No change,362,67,1,1.49%
Stoneham,07/22/2020,395,5,Decrease,4689,670,6,0.90%
Stoughton,07/22/2020,613,10,Decrease,5556,496,13,2.62%
Stow,07/22/2020,27,0,No change,851,107,0,0.00%
Sturbridge,07/22/2020,44,<5,Increase,1046,245,1,0.41%
Sudbury,07/22/2020,198,<5,No change,2807,325,2,0.62%
Sunderland,07/22/2020,9,0,No change,421,77,0,0.00%
Sutton,07/22/2020,52,<5,Increase,1185,197,2,1.02%
Swampscott,07/22/2020,138,<5,No change,2919,414,5,1.21%
Swansea,07/22/2020,138,<5,Increase,2593,218,3,1.38%
Taunton,07/22/2020,1001,18,Decrease,10764,737,27,3.66%
Templeton,07/22/2020,124,0,No change,1524,215,0,0.00%
